row_mod,text,conll_03,text,xlmr_output,domain,format,is_match,mention_level,error_type,illegal_flag,comment,repeated issue,,lingering = not fixed by CoNLL++ or ReCoNLL,
80,controlled,O,controlled,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
81,most,O,most,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
82,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
83,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
84,match,O,match,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
85,and,O,and,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
86,saw,O,saw,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
87,several,O,several,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
88,chances,O,chances,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
89,missed,O,missed,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
90,until,O,until,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
91,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
92,78th,O,78th,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
93,minute,O,minute,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
94,when,O,when,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
95,Uzbek,B-MISC,Uzbek,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
96,striker,O,striker,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
97,Igor,B-PER,Igor,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
98,Shkvyrin,I-PER,Shkvyrin,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
99,took,O,took,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
0,advantage,O,advantage,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
1,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
2,a,O,a,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
3,misdirected,O,misdirected,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
4,defensive,O,defensive,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
5,header,O,header,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
6,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
7,lob,O,lob,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
8,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
9,ball,O,ball,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
10,over,O,over,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
11,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
12,advancing,O,advancing,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
13,Chinese,B-MISC,Chinese,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
14,keeper,O,keeper,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
15,and,O,and,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
16,into,O,into,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
17,an,O,an,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
18,empty,O,empty,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
19,net,O,net,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
20,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
21,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
22,Oleg,B-PER,Oleg,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
23,Shatskiku,I-PER,Shatskiku,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
24,made,O,made,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
25,sure,O,sure,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
26,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
27,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
28,win,O,win,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
29,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
30,injury,O,injury,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
31,time,O,time,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
32,",",O,",",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
33,hitting,O,hitting,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
34,an,O,an,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
35,unstoppable,O,unstoppable,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
36,left,O,left,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
37,foot,O,foot,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
38,shot,O,shot,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
39,from,O,from,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
40,just,O,just,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
41,outside,O,outside,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
42,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
43,area,O,area,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
44,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
45,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
46,The,O,The,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
47,former,O,former,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
48,Soviet,B-MISC,Soviet,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
49,republic,O,republic,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
50,was,O,was,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
51,playing,O,playing,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
52,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
53,an,O,an,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
54,Asian,B-MISC,Asian,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
55,Cup,I-MISC,Cup,I-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
56,finals,O,finals,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
57,tie,O,tie,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
58,for,O,for,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
59,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
60,first,O,first,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
61,time,O,time,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
62,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
63,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
64,Despite,O,Despite,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
65,winning,O,winning,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
66,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
67,Asian,B-MISC,Asian,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
68,Games,I-MISC,Games,I-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
69,title,O,title,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
70,two,O,two,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
71,years,O,years,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
72,ago,O,ago,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
73,",",O,",",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
74,Uzbekistan,B-LOC,Uzbekistan,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
75,are,O,are,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
76,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
77,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
78,finals,O,finals,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
79,as,O,as,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
80,outsiders,O,outsiders,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
81,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
82,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
83,Two,O,Two,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
84,goals,O,goals,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
85,from,O,from,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
86,defensive,O,defensive,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
87,errors,O,errors,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
88,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
89,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
90,last,O,last,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
91,six,O,six,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
92,minutes,O,minutes,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
93,allowed,O,allowed,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
94,Japan,B-LOC,Japan,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
95,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
96,come,O,come,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
97,from,O,from,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
98,behind,O,behind,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
99,and,O,and,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
0,collect,O,collect,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
1,all,O,all,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
2,three,O,three,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
3,points,O,points,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
4,from,O,from,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
5,their,O,their,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
6,opening,O,opening,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
7,meeting,O,meeting,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
8,against,O,against,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
9,Syria,B-LOC,Syria,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
10,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
11,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
12,Takuya,B-PER,Takuya,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
13,Takagi,I-PER,Takagi,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
14,scored,O,scored,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
15,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
16,winner,O,winner,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
17,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
18,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
19,88th,O,88th,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
20,minute,O,minute,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
21,",",O,",",O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
22,rising,O,rising,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
23,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
24,head,O,head,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
25,a,O,a,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
26,Hiroshige,B-PER,Hiroshige,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
27,Yanagimoto,I-PER,Yanagimoto,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
28,cross,O,cross,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
29,towards,O,towards,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
30,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
31,Syrian,B-MISC,Syrian,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
32,goal,O,goal,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
33,which,O,which,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
34,goalkeeper,O,goalkeeper,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
35,Salem,B-PER,Salem,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
36,Bitar,I-PER,Bitar,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
37,appeared,O,appeared,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
38,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
39,have,O,have,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
40,covered,O,covered,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
41,but,O,but,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
42,then,O,then,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
43,allowed,O,allowed,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
44,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
45,slip,O,slip,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
46,into,O,into,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
47,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
48,net,O,net,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
49,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
50,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
51,It,O,It,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
52,was,O,was,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
53,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
54,second,O,second,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
55,costly,O,costly,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
56,blunder,O,blunder,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
57,by,O,by,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
58,Syria,B-LOC,Syria,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
59,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
60,four,O,four,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
61,minutes,O,minutes,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
62,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
63,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
64,Defender,O,Defender,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
65,Hassan,B-PER,Hassan,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
66,Abbas,I-PER,Abbas,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
67,rose,O,rose,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
68,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
69,intercept,O,intercept,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
70,a,O,a,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
71,long,O,long,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
72,ball,O,ball,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
73,into,O,into,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
74,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
75,area,O,area,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
76,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
77,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
78,84th,O,84th,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
79,minute,O,minute,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
80,but,O,but,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
81,only,O,only,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
82,managed,O,managed,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
83,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
84,divert,O,divert,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
85,it,O,it,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
86,into,O,into,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
87,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
88,top,O,top,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
89,corner,O,corner,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
90,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
91,Bitar,B-PER,Bitar,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
92,'s,O,s,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
93,goal,O,goal,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
94,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
95,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
96,Nader,B-PER,Nader,B-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
97,Jokhadar,I-PER,Jokhadar,I-PER,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
98,had,O,had,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
99,given,O,given,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
0,Syria,B-LOC,Syria,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
1,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
2,lead,O,lead,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
3,with,O,with,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
4,a,O,a,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
5,well-struck,O,well-struck,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
6,header,O,header,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
7,in,O,in,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
8,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
9,seventh,O,seventh,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
10,minute,O,minute,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
11,.,O,.,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
12,,,,,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
13,Japan,B-LOC,Japan,B-LOC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
14,then,O,then,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
15,laid,O,laid,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
16,siege,O,siege,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
17,to,O,to,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
18,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
19,Syrian,B-MISC,Syrian,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
20,penalty,O,penalty,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
21,area,O,area,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
22,for,O,for,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
23,most,O,most,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
24,of,O,of,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
25,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
26,game,O,game,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
27,but,O,but,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
28,rarely,O,rarely,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
29,breached,O,breached,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
30,the,O,the,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
31,Syrian,B-MISC,Syrian,B-MISC,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
32,defence,O,defence,O,SPORTS,TEXT ARTICLE,Yes,,,,,,,,
