row_mod,text,conll#,text,asp_output,domain,format,is_match,mention_level,error_type,illegal_flag,comment,repeated_issue,,,
41,without,O,without,O,SPORTS,HYBRID,Yes,,,,,,,,
42,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
43,suspended,O,suspended,O,SPORTS,HYBRID,Yes,,,,,,,,
44,defender,O,defender,O,SPORTS,HYBRID,Yes,,,,,,,,
45,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
46,German,B-MISC,German,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
47,Dietmar,B-PER,Dietmar,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
48,Beiersdorfer,I-PER,Beiersdorfer,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
49,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
50,Fiorentina,B-ORG,Fiorentina,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
51,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
52,10,O,10,O,SPORTS,HYBRID,Yes,,,,,,,,
53,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
54,v,O,v,O,SPORTS,HYBRID,Yes,,,,,,,,
55,Perugia,B-ORG,Perugia,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
56,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
57,8,O,8,O,SPORTS,HYBRID,Yes,,,,,,,,
58,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
59,1330,O,1330,O,SPORTS,HYBRID,Yes,,,,,,,,
60,Fiorentina,B-ORG,Fiorentina,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
61,will,O,will,O,SPORTS,HYBRID,Yes,,,,,,,,
62,be,O,be,O,SPORTS,HYBRID,Yes,,,,,,,,
63,without,O,without,O,SPORTS,HYBRID,Yes,,,,,,,,
64,three,O,three,O,SPORTS,HYBRID,Yes,,,,,,,,
65,suspended,O,suspended,O,SPORTS,HYBRID,Yes,,,,,,,,
66,players,O,players,O,SPORTS,HYBRID,Yes,,,,,,,,
67,--,O,--,O,SPORTS,HYBRID,Yes,,,,,,,,
68,defenders,O,defenders,O,SPORTS,HYBRID,Yes,,,,,,,,
69,Daniele,B-PER,Daniele,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
70,Carnasciali,I-PER,Carnasciali,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
71,and,O,and,O,SPORTS,HYBRID,Yes,,,,,,,,
72,Lorenzo,B-PER,Lorenzo,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
73,Amoruso,I-PER,Amoruso,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
74,and,O,and,O,SPORTS,HYBRID,Yes,,,,,,,,
75,midfielder,O,midfielder,O,SPORTS,HYBRID,Yes,,,,,,,,
76,Emiliano,B-PER,Emiliano,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
77,Bigica,I-PER,Bigica,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
78,--,O,--,O,SPORTS,HYBRID,Yes,,,,,,,,
79,for,O,for,O,SPORTS,HYBRID,Yes,,,,,,,,
80,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
81,difficult,O,difficult,O,SPORTS,HYBRID,Yes,,,,,,,,
82,home,O,home,O,SPORTS,HYBRID,Yes,,,,,,,,
83,match,O,match,O,SPORTS,HYBRID,Yes,,,,,,,,
84,against,O,against,O,SPORTS,HYBRID,Yes,,,,,,,,
85,unpredictable,O,unpredictable,O,SPORTS,HYBRID,Yes,,,,,,,,
86,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
87,attack-oriented,O,attack-oriented,O,SPORTS,HYBRID,Yes,,,,,,,,
88,Perugia,B-ORG,Perugia,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
89,led,O,led,O,SPORTS,HYBRID,Yes,,,,,,,,
90,by,O,by,O,SPORTS,HYBRID,Yes,,,,,,,,
91,in-form,O,in-form,O,SPORTS,HYBRID,Yes,,,,,,,,
92,Croat,B-MISC,Croat,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
93,striker,O,striker,O,SPORTS,HYBRID,Yes,,,,,,,,
94,Milan,B-PER,Milan,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
95,Rapajic,I-PER,Rapajic,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
96,and,O,and,O,SPORTS,HYBRID,Yes,,,,,,,,
97,the,O,the,O,SPORTS,HYBRID,Yes,,,,,,,,
98,experienced,O,experienced,O,SPORTS,HYBRID,Yes,,,,,,,,
99,Fausto,B-PER,Fausto,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
0,Pizzi,I-PER,Pizzi,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
1,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
2,Lazio,B-ORG,Lazio,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
3,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
4,12,O,12,O,SPORTS,HYBRID,Yes,,,,,,,,
5,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
6,v,O,v,O,SPORTS,HYBRID,Yes,,,,,,,,
7,AS,B-ORG,AS,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
8,Roma,I-ORG,Roma,I-ORG,SPORTS,HYBRID,Yes,,,,,,,,
9,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
10,7,O,7,O,SPORTS,HYBRID,Yes,,,,,,,,
11,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
12,1930,O,1930,O,SPORTS,HYBRID,Yes,,,,,,,,
13,Poor,O,Poor,O,SPORTS,HYBRID,Yes,,,,,,,,
14,man,O,man,O,SPORTS,HYBRID,Yes,,,,,,,,
15,'s,O,'s,O,SPORTS,HYBRID,Yes,,,,,,,,
16,Roman,B-MISC,Roman,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
17,derby,O,derby,O,SPORTS,HYBRID,Yes,,,,,,,,
18,in,O,in,O,SPORTS,HYBRID,Yes,,,,,,,,
19,what,O,what,O,SPORTS,HYBRID,Yes,,,,,,,,
20,has,O,has,O,SPORTS,HYBRID,Yes,,,,,,,,
21,been,O,been,O,SPORTS,HYBRID,Yes,,,,,,,,
22,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
23,miserable,O,miserable,O,SPORTS,HYBRID,Yes,,,,,,,,
24,season,O,season,O,SPORTS,HYBRID,Yes,,,,,,,,
25,for,O,for,O,SPORTS,HYBRID,Yes,,,,,,,,
26,both,O,both,O,SPORTS,HYBRID,Yes,,,,,,,,
27,Rome,B-LOC,Rome,B-LOC,SPORTS,HYBRID,Yes,,,,,,,,
28,teams,O,teams,O,SPORTS,HYBRID,Yes,,,,,,,,
29,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
30,already,O,already,O,SPORTS,HYBRID,Yes,,,,,,,,
31,eliminated,O,eliminated,O,SPORTS,HYBRID,Yes,,,,,,,,
32,from,O,from,O,SPORTS,HYBRID,Yes,,,,,,,,
33,the,O,the,O,SPORTS,HYBRID,Yes,,,,,,,,
34,Italian,B-MISC,Italian,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
35,and,O,and,O,SPORTS,HYBRID,Yes,,,,,,,,
36,UEFA,B-MISC,UEFA,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
37,Cups,I-MISC,Cups,I-MISC,SPORTS,HYBRID,Yes,,,,,,,,
38,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
39,Lazio,B-ORG,Lazio,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
40,have,O,have,O,SPORTS,HYBRID,Yes,,,,,,,,
41,injury,O,injury,O,SPORTS,HYBRID,Yes,,,,,,,,
42,doubts,O,doubts,O,SPORTS,HYBRID,Yes,,,,,,,,
43,about,O,about,O,SPORTS,HYBRID,Yes,,,,,,,,
44,striker,O,striker,O,SPORTS,HYBRID,Yes,,,,,,,,
45,Pierluigi,B-PER,Pierluigi,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
46,Casiraghi,I-PER,Casiraghi,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
47,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
48,Czech,B-MISC,Czech,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
49,midfielder,O,midfielder,O,SPORTS,HYBRID,Yes,,,,,,,,
50,Pavel,B-PER,Pavel,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
51,Nedved,I-PER,Nedved,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
52,and,O,and,O,SPORTS,HYBRID,Yes,,,,,,,,
53,defender,O,defender,O,SPORTS,HYBRID,Yes,,,,,,,,
54,Paolo,B-PER,Paolo,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
55,Negro,I-PER,Negro,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
56,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
57,while,O,while,O,SPORTS,HYBRID,Yes,,,,,,,,
58,Roma,B-ORG,Roma,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
59,present,O,present,O,SPORTS,HYBRID,Yes,,,,,,,,
60,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
61,full,O,full,O,SPORTS,HYBRID,Yes,,,,,,,,
62,strength,O,strength,O,SPORTS,HYBRID,Yes,,,,,,,,
63,side,O,side,O,SPORTS,HYBRID,Yes,,,,,,,,
64,led,O,led,O,SPORTS,HYBRID,Yes,,,,,,,,
65,by,O,by,O,SPORTS,HYBRID,Yes,,,,,,,,
66,Argentine,B-MISC,Argentine,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
67,Abel,B-PER,Abel,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
68,Balbo,I-PER,Balbo,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
69,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
70,Marco,B-PER,Marco,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
71,Delvecchio,I-PER,Delvecchio,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
72,and,O,and,O,SPORTS,HYBRID,Yes,,,,,,,,
73,Francesco,B-PER,Francesco,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
74,Totti,I-PER,Totti,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
75,in,O,in,O,SPORTS,HYBRID,Yes,,,,,,,,
76,attack,O,attack,O,SPORTS,HYBRID,Yes,,,,,,,,
77,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
78,AC,B-ORG,AC,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
79,Milan,I-ORG,Milan,I-ORG,SPORTS,HYBRID,Yes,,,,,,,,
80,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
81,9,O,9,O,SPORTS,HYBRID,Yes,,,,,,,,
82,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
83,v,O,v,O,SPORTS,HYBRID,Yes,,,,,,,,
84,Udinese,B-ORG,Udinese,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
85,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
86,11,O,11,O,SPORTS,HYBRID,Yes,,,,,,,,
87,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
88,1330,O,1330,O,SPORTS,HYBRID,Yes,,,,,,,,
89,Can,O,Can,O,SPORTS,HYBRID,Yes,,,,,,,,
90,Milan,B-ORG,Milan,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
91,sink,O,sink,O,SPORTS,HYBRID,Yes,,,,,,,,
92,any,O,any,O,SPORTS,HYBRID,Yes,,,,,,,,
93,further,O,further,O,SPORTS,HYBRID,Yes,,,,,,,,
94,?,O,?,O,SPORTS,HYBRID,Yes,,,,,,,,
95,Following,O,Following,O,SPORTS,HYBRID,Yes,,,,,,,,
96,their,O,their,O,SPORTS,HYBRID,Yes,,,,,,,,
97,midweek,O,midweek,O,SPORTS,HYBRID,Yes,,,,,,,,
98,Champions,B-MISC,Champions,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
99,\',I-MISC,\',I-MISC,SPORTS,HYBRID,Yes,,,,,,,,
0,League,I-MISC,League,I-MISC,SPORTS,HYBRID,Yes,,,,,,,,
1,elimination,O,elimination,O,SPORTS,HYBRID,Yes,,,,,,,,
2,by,O,by,O,SPORTS,HYBRID,Yes,,,,,,,,
3,Norwegian,B-MISC,Norwegian,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
4,side,O,side,O,SPORTS,HYBRID,Yes,,,,,,,,
5,Rosenborg,B-ORG,Rosenborg,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
6,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
7,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
8,morale-boosting,O,morale-boosting,O,SPORTS,HYBRID,Yes,,,,,,,,
9,win,O,win,O,SPORTS,HYBRID,Yes,,,,,,,,
10,is,O,is,O,SPORTS,HYBRID,Yes,,,,,,,,
11,badly,O,badly,O,SPORTS,HYBRID,Yes,,,,,,,,
12,needed,O,needed,O,SPORTS,HYBRID,Yes,,,,,,,,
13,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
14,Liberian,B-MISC,Liberian,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
15,striker,O,striker,O,SPORTS,HYBRID,Yes,,,,,,,,
16,George,B-PER,George,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
17,Weah,I-PER,Weah,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
18,makes,O,makes,O,SPORTS,HYBRID,Yes,,,,,,,,
19,a,O,a,O,SPORTS,HYBRID,Yes,,,,,,,,
20,welcome,O,welcome,O,SPORTS,HYBRID,Yes,,,,,,,,
21,return,O,return,O,SPORTS,HYBRID,Yes,,,,,,,,
22,for,O,for,O,SPORTS,HYBRID,Yes,,,,,,,,
23,Milan,B-ORG,Milan,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
24,alongside,O,alongside,O,SPORTS,HYBRID,Yes,,,,,,,,
25,Roberto,B-PER,Roberto,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
26,Baggio,I-PER,Baggio,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
27,",",O,",",O,SPORTS,HYBRID,Yes,,,,,,,,
28,with,O,with,O,SPORTS,HYBRID,Yes,,,,,,,,
29,Montenegrin,B-MISC,Montenegrin,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
30,Dejan,B-PER,Dejan,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
31,Savicevic,I-PER,Savicevic,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
32,in,O,in,O,SPORTS,HYBRID,Yes,,,,,,,,
33,midfield,O,midfield,O,SPORTS,HYBRID,Yes,,,,,,,,
34,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
35,Good,O,Good,O,SPORTS,HYBRID,Yes,,,,,,,,
36,news,O,news,O,SPORTS,HYBRID,Yes,,,,,,,,
37,for,O,for,O,SPORTS,HYBRID,Yes,,,,,,,,
38,Milan,B-ORG,Milan,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
39,is,O,is,O,SPORTS,HYBRID,Yes,,,,,,,,
40,that,O,that,O,SPORTS,HYBRID,Yes,,,,,,,,
41,Udinese,B-ORG,Udinese,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
42,'s,O,'s,O,SPORTS,HYBRID,Yes,,,,,,,,
43,German,B-MISC,German,B-MISC,SPORTS,HYBRID,Yes,,,,,,,,
44,striker,O,striker,O,SPORTS,HYBRID,Yes,,,,,,,,
45,Oliver,B-PER,Oliver,B-PER,SPORTS,HYBRID,Yes,,,,,,,,
46,Bierhoff,I-PER,Bierhoff,I-PER,SPORTS,HYBRID,Yes,,,,,,,,
47,is,O,is,O,SPORTS,HYBRID,Yes,,,,,,,,
48,out,O,out,O,SPORTS,HYBRID,Yes,,,,,,,,
49,through,O,through,O,SPORTS,HYBRID,Yes,,,,,,,,
50,injury,O,injury,O,SPORTS,HYBRID,Yes,,,,,,,,
51,.,O,.,O,SPORTS,HYBRID,Yes,,,,,,,,
52,Napoli,B-ORG,Napoli,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
53,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
54,5,O,5,O,SPORTS,HYBRID,Yes,,,,,,,,
55,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
56,v,O,v,O,SPORTS,HYBRID,Yes,,,,,,,,
57,Verona,B-ORG,Verona,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
58,(,O,(,O,SPORTS,HYBRID,Yes,,,,,,,,
59,17,O,17,O,SPORTS,HYBRID,Yes,,,,,,,,
60,),O,),O,SPORTS,HYBRID,Yes,,,,,,,,
61,1330,O,1330,O,SPORTS,HYBRID,Yes,,,,,,,,
62,In-form,O,In-form,O,SPORTS,HYBRID,Yes,,,,,,,,
63,Napoli,B-ORG,Napoli,B-ORG,SPORTS,HYBRID,Yes,,,,,,,,
